vel,Re,phi,theta,Theoretical 0°,Theoretical 90°,Exp C_d,Theoretical C_d,Absolute difference,Deviation %
10,0.1,6,0.785398,142.8,194.4,171.02,168.6,2.42,1.435349941
7.75,0.0775,6,0.785398,184.2580645,250.8387097,220.6,217.5483871,3.051612903,1.402728351
5.5,0.055,6,0.785398,259.6363636,353.4545455,310.79,306.5454545,4.244545455,1.384638197
3.25,0.0325,6,0.785398,439.3846154,598.1538462,525.85,518.7692308,7.080769231,1.364916963
1,0.01,6,0.785398,1428,1944,1704.84,1686,18.84,1.117437722
0.94,0.0094,6,0.785398,1519.148936,2068.085106,1814.72,1793.617021,21.10297872,1.176559905
0.88,0.0088,6,0.785398,1622.727273,2209.090909,1938.44,1915.909091,22.53090909,1.17599051
0.82,0.0082,6,0.785398,1741.463415,2370.731707,2083.51,2056.097561,27.41243902,1.333226572
0.76,0.0076,6,0.785398,1878.947368,2557.894737,2247.98,2218.421053,29.55894737,1.332431791
0.7,0.007,6,0.785398,2040,2777.142857,2440.65,2408.571429,32.07857143,1.331850534
0.64,0.0064,6,0.785398,2231.25,3037.5,2668.96,2634.375,34.585,1.312835113
0.58,0.0058,6,0.785398,2462.068966,3351.724138,2945.05,2906.896552,38.15344828,1.312514828
0.52,0.0052,6,0.785398,2746.153846,3738.461538,3284.85,3242.307692,42.54230769,1.312099644
0.46,0.0046,6,0.785398,3104.347826,4226.086957,3713.29,3665.217391,48.0726087,1.311589561
0.4,0.004,6,0.785398,3570,4860,4270.26,4215,55.26,1.311032028
0.34,0.0034,6,0.785398,4200,5717.647059,5023.82,4958.823529,64.99647059,1.310723606
0.28,0.0028,6,0.785398,5100,6942.857143,6100.29,6021.428571,78.86142857,1.309679715
0.22,0.0022,6,0.785398,6490.909091,8836.363636,7763.97,7663.636364,100.3336364,1.309217082
0.16,0.0016,6,0.785398,8925,12150,10675.4,10537.5,137.9,1.308659549
0.1,0.001,6,0.785398,14280,19440,17080.56,16860,220.56,1.308185053
