vel,Re,phi,theta,Theoretical 0°,Theoretical 90°,Exp C_d,Theoretical C_d,Absolute difference,Deviation %
10,0.1,3,1.178097,162,199.2,181.29,193.62,12.33,6.368143787
7.75,0.0775,3,1.178097,209.0322581,257.0322581,234.14,249.8322581,15.69225806,6.281117653
5.5,0.055,3,1.178097,294.5454545,362.1818182,330.24,352.0363636,21.79636364,6.191509142
3.25,0.0325,3,1.178097,498.4615385,612.9230769,559.42,595.7538462,36.33384615,6.098801777
1,0.01,3,1.178097,1620,1992,1820.18,1936.2,116.02,5.992149571
0.94,0.0094,3,1.178097,1723.404255,2119.148936,1936.41,2059.787234,123.377234,5.989804772
0.88,0.0088,3,1.178097,1840.909091,2263.636364,2068.5,2200.227273,131.7272727,5.986984816
0.82,0.0082,3,1.178097,1975.609756,2429.268293,2219.92,2361.219512,141.2995122,5.984175189
0.76,0.0076,3,1.178097,2131.578947,2621.052632,2395.24,2547.631579,152.3915789,5.981696106
0.7,0.007,3,1.178097,2314.285714,2845.714286,2600.62,2766,165.38,5.979031092
0.64,0.0064,3,1.178097,2531.25,3112.5,2844.51,3025.3125,180.8025,5.97632476
0.58,0.0058,3,1.178097,2793.103448,3434.482759,3138.97,3338.275862,199.3058621,5.970323314
0.52,0.0052,3,1.178097,3115.384615,3830.769231,3501.25,3723.461538,222.2115385,5.96787522
0.46,0.0046,3,1.178097,3521.73913,4330.434783,3958.05,4209.130435,251.0804348,5.965137899
0.4,0.004,3,1.178097,4050,4980,4551.89,4840.5,288.61,5.962400578
0.34,0.0034,3,1.178097,4764.705882,5858.823529,5355.32,5694.705882,339.3858824,5.959673587
0.28,0.0028,3,1.178097,5785.714286,7114.285714,6503.07,6915,411.93,5.957049892
0.22,0.0022,3,1.178097,7363.636364,9054.545455,8276.88,8800.909091,524.0290909,5.954260923
0.16,0.0016,3,1.178097,10125,12450,11381.05,12101.25,720.2,5.951451296
0.1,0.001,3,1.178097,16200,19920,18210.19,19362,1151.81,5.948817271
