vel,Re,phi,theta,Theoretical 0°,Theoretical 90°,Exp C_d,Theoretical C_d,Absolute difference,Deviation %
10,0.1,4,0.785398,152.4,195.84,171.03,174.12,3.09,1.774638181
7.75,0.0775,4,0.785398,196.6451613,252.6967742,220.63,224.6709677,4.040967742,1.798615897
5.5,0.055,4,0.785398,277.0909091,356.0727273,310.8,316.5818182,5.781818182,1.826326671
3.25,0.0325,4,0.785398,468.9230769,602.5846154,525.86,535.7538462,9.893846154,1.846714909
1,0.01,4,0.785398,1524,1958.4,1708.72,1741.2,32.48,1.865380198
0.94,0.0094,4,0.785398,1621.276596,2083.404255,1817.78,1852.340426,34.56042553,1.865770733
0.88,0.0088,4,0.785398,1731.818182,2225.454545,1941.71,1978.636364,36.92636364,1.866253159
0.82,0.0082,4,0.785398,1858.536585,2388.292683,2083.77,2123.414634,39.64463415,1.867022743
0.76,0.0076,4,0.785398,2005.263158,2576.842105,2248.27,2291.052632,42.78263158,1.867378819
0.7,0.007,4,0.785398,2177.142857,2797.714286,2440.96,2487.428571,46.46857143,1.868136917
0.64,0.0064,4,0.785398,2381.25,3060,2669.79,2720.625,50.835,1.86850448
0.58,0.0058,4,0.785398,2627.586207,3376.551724,2945.96,3002.068966,56.10896552,1.869009878
0.52,0.0052,4,0.785398,2930.769231,3766.153846,3285.86,3348.461538,62.60153846,1.869561222
0.46,0.0046,4,0.785398,3313.043478,4257.391304,3714.44,3785.217391,70.7773913,1.869836894
0.4,0.004,4,0.785398,3810,4896,4271.58,4353,81.42,1.870434183
0.34,0.0034,4,0.785398,4482.352941,5760,5025.36,5121.176471,95.81647059,1.870985527
0.28,0.0028,4,0.785398,5442.857143,6994.285714,6102.19,6218.571429,116.3814286,1.871513898
0.22,0.0022,4,0.785398,6927.272727,8901.818182,7766.39,7914.545455,148.1554545,1.871938893
0.16,0.0016,4,0.785398,9525,12240,10678.73,10882.5,203.77,1.872455778
0.1,0.001,4,0.785398,15240,19584,17085.88,17412,326.12,1.872961176
