vel,Re,phi,theta,Theoretical 0°,Theoretical 90°,Exp C_d,Theoretical C_d,Absolute difference,Deviation %
10,0.1,5,0.3926991,146.6,194.88,152.29,153.64888,1.35888,0.8844060562
7.75,0.0775,5,0.3926991,189.1612903,251.4580645,196.46,198.2566194,1.796619355,0.9062090137
5.5,0.055,5,0.3926991,266.5454545,354.3272727,276.78,279.3616,2.5816,0.9241069639
3.25,0.0325,5,0.3926991,451.0769231,599.6307692,468.21,472.7657846,4.555784615,0.9636451629
1,0.01,5,0.3926991,1466,1948.8,1521.39,1536.4888,15.0988,0.9826820736
0.94,0.0094,5,0.3926991,1559.574468,2073.191489,1618.49,1634.562553,16.07255319,0.983293858
0.88,0.0088,5,0.3926991,1665.909091,2214.545455,1728.84,1746.01,17.17,0.9833849749
0.82,0.0082,5,0.3926991,1787.804878,2376.585366,1855.33,1873.766829,18.43682927,0.9839446926
0.76,0.0076,5,0.3926991,1928.947368,2564.210526,2001.79,2021.695789,19.90578947,0.9846085438
0.7,0.007,5,0.3926991,2094.285714,2784,2173.36,2194.984,21.624,0.9851552449
0.64,0.0064,5,0.3926991,2290.625,3045,2377.1,2400.76375,23.66375,0.9856759125
0.58,0.0058,5,0.3926991,2527.586207,3360,2623,2649.118621,26.11862069,0.9859362463
0.52,0.0052,5,0.3926991,2819.230769,3747.692308,2925.64,2954.786154,29.14615385,0.9864048472
0.46,0.0046,5,0.3926991,3186.956522,4236.521739,3307.23,3340.193043,32.96304348,0.9868604314
0.4,0.004,5,0.3926991,3665,4872,3803.29,3841.222,37.932,0.9874982493
0.34,0.0034,5,0.3926991,4311.764706,5731.764706,4474.44,4519.084706,44.64470588,0.9879147834
0.28,0.0028,5,0.3926991,5235.714286,6960,5433.22,5487.46,54.24,0.988435451
0.22,0.0022,5,0.3926991,6663.636364,8858.181818,6914.97,6984.04,69.07,0.9889691353
0.16,0.0016,5,0.3926991,9162.5,12180,9508.04,9603.055,95.015,0.9894247195
0.1,0.001,5,0.3926991,14660,19488,15212.78,15364.888,152.108,0.9899714206
