vel,Re,phi,theta,Theoretical 0°,Theoretical 90°,Exp C_d,Theoretical C_d,Absolute difference,Deviation %
10,0.1,3,0.3926991,162,199.2,162.22,167.4312,5.2112,3.112442603
7.75,0.0775,3,0.3926991,209.0322581,257.0322581,209.28,216.0402581,6.760258065,3.12916589
5.5,0.055,3,0.3926991,294.5454545,362.1818182,294.81,304.4203636,9.610363636,3.156938492
3.25,0.0325,3,0.3926991,498.4615385,612.9230769,498.77,515.1729231,16.40292308,3.183964518
1,0.01,3,0.3926991,1620,1992,1620.59,1674.312,53.722,3.208601503
0.94,0.0094,3,0.3926991,1723.404255,2119.148936,1724.02,1781.182979,57.16297872,3.209270435
0.88,0.0088,3,0.3926991,1840.909091,2263.636364,1841.56,1902.627273,61.06727273,3.209628791
0.82,0.0082,3,0.3926991,1975.609756,2429.268293,1976.3,2041.843902,65.54390244,3.210034928
0.76,0.0076,3,0.3926991,2131.578947,2621.052632,2132.31,2203.042105,70.73210526,3.210656078
0.7,0.007,3,0.3926991,2314.285714,2845.714286,2315.07,2391.874286,76.80428571,3.21105027
0.64,0.0064,3,0.3926991,2531.25,3112.5,2532.09,2616.1125,84.0225,3.211731147
0.58,0.0058,3,0.3926991,2793.103448,3434.482759,2794.01,2886.744828,92.73482759,3.212435914
0.52,0.0052,3,0.3926991,3115.384615,3830.769231,3116.38,3219.830769,103.4507692,3.212925667
0.46,0.0046,3,0.3926991,3521.73913,4330.434783,3522.85,3639.808696,116.9586957,3.213319859
0.4,0.004,3,0.3926991,4050,4980,4051.26,4185.78,134.52,3.213737941
0.34,0.0034,3,0.3926991,4764.705882,5858.823529,4766.16,4924.447059,158.2870588,3.214311311
0.28,0.0028,3,0.3926991,5785.714286,7114.285714,5787.45,5979.685714,192.2357143,3.21481301
0.22,0.0022,3,0.3926991,7363.636364,9054.545455,7365.8,7610.509091,244.7090909,3.21541027
0.16,0.0016,3,0.3926991,10125,12450,10127.93,10464.45,336.52,3.215840297
0.1,0.001,3,0.3926991,16200,19920,16204.59,16743.12,538.53,3.216425612
