vel,Re,phi,theta,Theoretical 0°,Theoretical 90°,Exp C_d,Theoretical C_d,Absolute difference,Deviation %
10,0.1,2,0.3926991,182.2,208.56,181.02,186.04856,5.02856,2.702821242
7.75,0.0775,2,0.3926991,235.0967742,269.1096774,233.6,240.0626581,6.462658065,2.69207136
5.5,0.055,2,0.3926991,331.2727273,379.2,329.1,338.2701091,9.170109091,2.710883653
3.25,0.0325,2,0.3926991,560.6153846,641.7230769,556.78,572.4571077,15.67710769,2.738564598
1,0.01,2,0.3926991,1822,2085.6,1806.43,1860.4856,54.0556,2.905456511
0.94,0.0094,2,0.3926991,1938.297872,2218.723404,1921.72,1979.24,57.52,2.906166003
0.88,0.0088,2,0.3926991,2070.454545,2370,2052.74,2114.188182,61.44818182,2.906467
0.82,0.0082,2,0.3926991,2221.95122,2543.414634,2202.93,2268.884878,65.95487805,2.906929245
0.76,0.0076,2,0.3926991,2397.368421,2744.210526,2376.83,2448.007368,71.17736842,2.907563488
0.7,0.007,2,0.3926991,2602.857143,2979.428571,2580.55,2657.836571,77.28657143,2.907875234
0.64,0.0064,2,0.3926991,2846.875,3258.75,2822.46,2907.00875,84.54875,2.908444978
0.58,0.0058,2,0.3926991,3141.37931,3595.862069,3114.43,3207.733793,93.3037931,2.908713725
0.52,0.0052,2,0.3926991,3503.846154,4010.769231,3473.77,3577.856923,104.0869231,2.90919747
0.46,0.0046,2,0.3926991,3960.869565,4533.913043,3926.85,4044.533913,117.683913,2.909702714
0.4,0.004,2,0.3926991,4555,5214,4515.86,4651.214,135.354,2.91007896
0.34,0.0034,2,0.3926991,5358.823529,6134.117647,5312.75,5472.016471,159.2664706,2.910562705
0.28,0.0028,2,0.3926991,6507.142857,7448.571429,6451.17,6644.591429,193.4214286,2.91096045
0.22,0.0022,2,0.3926991,8281.818182,9480,8223.28,8456.752727,233.4727273,2.760784604
0.16,0.0016,2,0.3926991,11387.5,13035,11306.96,11628.035,321.075,2.761214599
0.1,0.001,2,0.3926991,18220,20856,18091.05,18604.856,513.806,2.761676844
