vel,Re,phi,theta,Theoretical 0°,Theoretical 90°,Exp C_d,Theoretical C_d,Absolute difference,Deviation %
10,0.1,5,0.785398,146.6,194.88,169.39,170.74,1.35,0.7906758815
7.75,0.0775,5,0.785398,189.1612903,251.4580645,218.56,220.3096774,1.749677419,0.7941899965
5.5,0.055,5,0.785398,266.5454545,354.3272727,307.91,310.4363636,2.526363636,0.8138104721
3.25,0.0325,5,0.785398,451.0769231,599.6307692,520.83,525.3538462,4.523846154,0.8611046035
1,0.01,5,0.785398,1466,1948.8,1692.36,1707.4,15.04,0.8808715005
0.94,0.0094,5,0.785398,1559.574468,2073.191489,1800.37,1816.382979,16.01297872,0.8815860372
0.88,0.0088,5,0.785398,1665.909091,2214.545455,1923.12,1940.227273,17.10727273,0.8817148881
0.82,0.0082,5,0.785398,1787.804878,2376.585366,2063.82,2082.195122,18.37512195,0.8824879934
0.76,0.0076,5,0.785398,1928.947368,2564.210526,2226.74,2246.578947,19.83894737,0.8830736793
0.7,0.007,5,0.785398,2094.285714,2784,2417.59,2439.142857,21.55285714,0.883624224
0.64,0.0064,5,0.785398,2290.625,3045,2644.23,2667.8125,23.5825,0.8839639218
0.58,0.0058,5,0.785398,2527.586207,3360,2917.75,2943.793103,26.04310345,0.8846784585
0.52,0.0052,5,0.785398,2819.230769,3747.692308,3254.4,3283.461538,29.06153846,0.8850884386
0.46,0.0046,5,0.785398,3186.956522,4236.521739,3678.86,3711.73913,32.87913043,0.885814689
0.4,0.004,5,0.785398,3665,4872,4230.67,4268.5,37.83,0.8862598102
0.34,0.0034,5,0.785398,4311.764706,5731.764706,4977.23,5021.764706,44.53470588,0.8868337824
0.28,0.0028,5,0.785398,5235.714286,6960,6043.75,6097.857143,54.10714286,0.8873140447
0.22,0.0022,5,0.785398,6663.636364,8858.181818,7692.01,7760.909091,68.89909091,0.8877708797
0.16,0.0016,5,0.785398,9162.5,12180,10576.47,10671.25,94.78,0.8881808598
0.1,0.001,5,0.785398,14660,19488,16925.2,17074,148.8,0.8715005271
