vel,Re,phi,theta,Theoretical 0°,Theoretical 90°,Exp C_d,Theoretical C_d,Absolute difference,Deviation %
10,0.1,6,1.178097,142.8,194.4,187.96,186.66,1.3,0.6964534448
7.75,0.0775,6,1.178097,184.2580645,250.8387097,242.48,240.8516129,1.628387097,0.6760955748
5.5,0.055,6,1.178097,259.6363636,353.4545455,341.6,339.3818182,2.218181818,0.6535947712
3.25,0.0325,6,1.178097,439.3846154,598.1538462,578.01,574.3384615,3.671538462,0.6392639023
1,0.01,6,1.178097,1428,1944,1878.24,1866.6,11.64,0.6235936998
0.94,0.0094,6,1.178097,1519.148936,2068.085106,1998.12,1985.744681,12.37531915,0.6232079717
0.88,0.0088,6,1.178097,1622.727273,2209.090909,2134.35,2121.136364,13.21363636,0.6229508197
0.82,0.0082,6,1.178097,1741.463415,2370.731707,2290.51,2276.341463,14.16853659,0.6224258009
0.76,0.0076,6,1.178097,1878.947368,2557.894737,2471.33,2456.052632,15.27736842,0.6220293582
0.7,0.007,6,1.178097,2040,2777.142857,2683.15,2666.571429,16.57857143,0.6217186328
0.64,0.0064,6,1.178097,2231.25,3037.5,2934.68,2916.5625,18.1175,0.6211936141
0.58,0.0058,6,1.178097,2462.068966,3351.724138,3238.26,3218.275862,19.98413793,0.6209578914
0.52,0.0052,6,1.178097,2746.153846,3738.461538,3611.89,3589.615385,22.27461538,0.6205293046
0.46,0.0046,6,1.178097,3104.347826,4226.086957,4082.99,4057.826087,25.16391304,0.6201328619
0.4,0.004,6,1.178097,3570,4860,4695.42,4666.5,28.92,0.6197364192
0.34,0.0034,6,1.178097,4200,5717.647059,5524,5490,34,0.6193078324
0.28,0.0028,6,1.178097,5100,6942.857143,6707.69,6666.428571,41.26142857,0.6189435337
0.22,0.0022,6,1.178097,6490.909091,8836.363636,8537.03,8484.545455,52.48454545,0.6185899496
0.16,0.0016,6,1.178097,8925,12150,11738.37,11666.25,72.12,0.6181935069
0.1,0.001,6,1.178097,14280,19440,18781.33,18666,115.33,0.6178613522
